# 2021 08 24 06 24 40.80  27.627  56.472  20.8 0.00 0.00 0.00  0.3    100000
KBAM  43.700   1.0 P
CHMN  43.900   1.0 P
# 2021 11 15 05 02 03.50  27.822  56.294   6.0 0.00 0.00 0.00  0.5    100068
BNB    9.300   1.0 P
MZN1  29.200   1.0 P
JASK  42.300   1.0 P
KBAM  42.500   1.0 P
CHMN  44.300   1.0 P
# 2021 11 15 05 04 33.00  27.509  56.169  12.0 0.00 0.00 0.00  0.4    100069
BNDS   2.900   1.0 P
BNB    7.300   1.0 P
MZN1  27.900   1.0 P
KBAM  43.100   1.0 P
CHMN  43.900   1.0 P
MZN1  47.500   1.0 S
# 2021 11 15 05 58 25.70  27.601  56.220  10.0 0.00 0.00 0.00  0.5    100070
BNB    6.700   1.0 P
MZN1  28.400   1.0 P
JASK  41.000   1.0 P
KBAM  43.900   1.0 P
CHMN  44.200   1.0 P
# 2021 11 15 06 23 13.00  27.521  55.978  28.0 0.00 0.00 0.00  0.2    100071
BNB   11.700   1.0 P
MZN1  25.900   1.0 P
JASK  39.200   1.0 P
CHMN  44.600   1.0 P
# 2021 11 15 06 43 48.40  27.576  56.193  14.6 0.00 0.00 0.00  0.4    100072
BNDS   4.600   1.0 P
BNB    6.700   1.0 P
MZN1  27.600   1.0 P
KBAM  42.700   1.0 P
CHMN  42.900   1.0 P
UOSS  44.000   1.0 P
KHGB  46.600   1.0 P
GHIR  47.880   1.0 P
KRBR  38.860   0.0 P
JSSH  35.640   1.0 P
# 2021 11 15 07 10 25.50  27.604  56.055  13.2 0.00 0.00 0.00  0.3    100073
BNB    9.800   1.0 P
MZN1  26.200   1.0 P
JASK  41.300   1.0 P
KBAM  44.600   1.0 P
CHMN  45.600   1.0 P
# 2021 11 15 07 44 53.60  27.568  56.229  11.0 0.00 0.00 0.00  0.4    100074
BNDS   5.600   1.0 P
BNB    6.500   1.0 P
MZN1  29.700   1.0 P
JASK  39.300   1.0 P
KBAM  43.900   1.0 P
CHMN  44.600   1.0 P
UOSS  45.000   1.0 P
KHGB  48.200   1.0 P
KSHB  49.000   1.0 P
MZN1  49.400   1.0 S
GHIR  50.260   1.0 P
LMD1  47.130   1.0 P
KRBR  41.030   1.0 P
JSSH  35.900   1.0 P
# 2021 11 15 08 18 12.70  27.604  56.224  10.0 0.00 0.00 0.00  0.4    100075
BNDS   5.100   1.0 P
BNB    8.100   1.0 P
MZN1  29.200   1.0 P
KBAM  43.300   1.0 P
CHMN  44.100   1.0 P
KHGB  47.500   1.0 P
# 2021 11 15 09 14 12.60  27.573  56.209  14.0 0.00 0.00 0.00  0.6    100076
BNDS   4.800   1.0 P
BNB    8.000   1.0 P
MZN1  28.200   1.0 P
JASK  39.900   1.0 P
CHMN  43.700   1.0 P
KBAM  43.800   1.0 P
MZN1  50.400   1.0 S
# 2021 11 15 09 45 23.90  27.573  56.238  15.0 0.00 0.00 0.00  0.4    100077
BNDS   5.100   1.0 P
BNB    6.000   1.0 P
MZN1  27.100   1.0 P
KBAM  42.000   1.0 P
CHMN  42.800   1.0 P
UOSS  43.600   1.0 P
KHGB  46.400   1.0 P
MZN1  49.300   1.0 S
GHIR  48.400   1.0 P
KRBR  39.190   1.0 P
JSSH  34.800   1.0 P
# 2021 11 15 09 55 01.90  27.619  56.150   9.7 0.00 0.00 0.00  0.5    100078
BNDS   5.500   1.0 P
BNB    7.400   1.0 P
BNB   13.800   1.0 S
MZN1  26.500   1.0 P
KRBR  38.300   0.0 P
JASK  40.100   1.0 P
KBAM  43.700   1.0 P
CHMN  43.800   1.0 P
# 2021 11 15 10 14 18.30  27.639  56.237  10.0 0.00 0.00 0.00  0.4    100079
BNDS   4.800   1.0 P
BNB    6.900   1.0 P
BNB   12.000   1.0 S
MZN1  28.800   1.0 P
JASK  40.200   1.0 P
KBAM  42.600   1.0 P
CHMN  42.700   1.0 P
KHGB  46.100   1.0 P
# 2021 11 15 10 52 25.50  27.564  56.194  17.0 0.00 0.00 0.00  0.3    100080
BNDS   5.100   1.0 P
BNB    6.900   1.0 P
BNB   12.200   1.0 S
MZN1  27.000   1.0 P
KRBR  36.400   0.0 P
JASK  38.200   1.0 P
KBAM  42.700   1.0 P
CHMN  42.900   1.0 P
KHGB  46.300   1.0 P
# 2021 11 15 11 15 42.10  27.501  56.241  19.8 0.00 0.00 0.00  0.4    100081
BNDS   5.300   1.0 P
BNB    7.000   1.0 P
MZN1  29.600   1.0 P
KBAM  42.400   1.0 P
CHMN  44.300   1.0 P
KHGB  48.500   1.0 P
MZN1  51.200   1.0 S
# 2021 11 15 11 24 15.00  27.506  56.117  11.9 0.00 0.00 0.00  0.4    100082
BNDS   3.200   1.0 P
BNB    7.600   1.0 P
MZN1  27.700   1.0 P
JASK  39.500   1.0 P
KBAM  44.100   1.0 P
CHMN  45.100   1.0 P
MZN1  47.500   1.0 S
KHGB  48.400   1.0 P
GHIR  48.620   1.0 P
KRBR  39.590   0.0 P
LMD1  46.950   1.0 P
JSSH  36.610   1.0 P
# 2021 11 15 12 21 30.70  27.643  56.171   5.0 0.00 0.00 0.00  0.5    100083
BNDS   5.000   1.0 P
BNB   13.500   1.0 S
MZN1  28.700   1.0 P
JASK  42.500   1.0 P
KBAM  43.700   1.0 P
CHMN  44.200   1.0 P
KHGB  47.300   1.0 P
# 2021 11 15 13 07 48.70  27.599  56.176  10.0 0.00 0.00 0.00  0.4    100084
BNDS   4.100   1.0 P
BNB    7.100   1.0 P
BNB   13.500   1.0 S
MZN1  27.900   1.0 P
JASK  39.500   1.0 P
KBAM  42.900   1.0 P
CHMN  43.200   1.0 P
KHGB  47.100   1.0 P
# 2021 11 15 13 28 14.90  27.542  56.229  10.0 0.00 0.00 0.00  0.3    100085
BNDS   3.500   1.0 P
BNB    5.700   1.0 P
MZN1  28.500   1.0 P
JASK  39.300   1.0 P
KBAM  43.300   1.0 P
CHMN  43.900   1.0 P
KHGB  47.400   1.0 P
# 2021 11 15 13 36 11.70  27.588  56.148  17.4 0.00 0.00 0.00  0.3    100086
BNDS   4.600   1.0 P
BNB    7.500   1.0 P
BNB   14.000   1.0 S
MZN1  26.800   1.0 P
JASK  39.200   1.0 P
JHRM  41.300   1.0 P
KBAM  42.300   1.0 P
CHMN  42.900   1.0 P
UOSS  43.300   1.0 P
LMD1  44.100   1.0 P
KHGB  46.100   1.0 P
KSHB  46.100   1.0 P
MZN1  46.800   1.0 S
GHIR  47.040   1.0 P
JSSH  34.570   1.0 P
KRBR  36.900   0.0 P
# 2021 11 15 13 48 53.20  27.646  56.130   8.1 0.00 0.00 0.00  0.3    100087
BNDS   4.900   1.0 P
BNB    8.300   1.0 P
BNB   14.900   1.0 S
MZN1  26.700   1.0 P
JASK  41.100   1.0 P
