     LON     LAT   DEPTH     MAG    PHUSD   NO_ST   MIND     GAP     RMS     SEH     SEZ  YYYY MM DD HH MN SEC
  56.135  27.567    14.6     3.1      99      99    99.0     360   0.266     3.3     2.7  2021 11 26 23 01 03.14
  56.123  27.550     9.5     2.8      99      99    99.0     360   0.236     7.3     7.0  2021 11 27 00 31 29.48
  56.212  27.515    12.3     3.4      99      99    99.0     360   0.271     7.5     6.0  2021 11 27 23 42 17.57
  56.124  27.705     7.9     2.9      99      99    99.0     360   0.390     9.9     8.9  2021 11 28 09 18 14.90
  56.150  27.593    17.5     4.0      99      99    99.0     360   0.276     3.2     2.9  2021 11 28 17 14 43.52
  56.236  27.504    11.5     2.8      99      99    99.0     360   0.272     5.1     3.7  2021 11 28 20 54 31.50
  56.199  27.560    12.8     2.8      99      99    99.0     360   0.255     3.1     2.7  2021 11 29 00 02 02.91
  56.167  27.435    18.9     2.8      99      99    99.0     360   0.269     4.1     2.6  2021 11 29 20 31 56.28
  56.241  27.527    17.6     3.4      99      99    99.0     360   0.365     3.8     2.5  2021 11 29 21 02 42.24
  56.283  27.542    18.2     3.8      99      99    99.0     360   0.241     3.3     2.5  2021 11 30 03 47 46.22
  56.166  27.565    12.3     2.9      99      99    99.0     360   0.338     2.8     2.0  2021 11 30 05 04 56.45
  56.071  27.496    20.2     2.9      99      99    99.0     360   0.459     5.5     4.3  2021 11 30 14 56 20.10
  56.296  27.598    10.9     2.6      99      99    99.0     360   0.381     4.6     4.2  2021 11 30 19 05 21.80
  56.142  27.542    12.0     2.9      99      99    99.0     360   0.330     3.9     3.2  2021 11 30 19 36 23.28
  56.126  27.491    18.0     2.8      99      99    99.0     360   0.422     4.3     3.9  2021 11 30 19 44 34.67
  56.204  27.557    12.3     3.2      99      99    99.0     360   0.336     3.5     2.5  2021 11 30 22 44 37.39
  56.101  27.584    15.6     2.7      99      99    99.0     360   0.333     3.6     3.0  2021 11 30 23 54 27.82
  56.141  27.560    17.9     3.4      99      99    99.0     360   0.354     5.3     4.9  2021 12 01 01 42 32.79
  56.141  27.600     8.6     2.5      99      99    99.0     360   0.478     4.6     4.0  2021 12 01 02 12 44.92
  56.190  27.570    12.7     3.2      99      99    99.0     360   0.343     2.5     2.2  2021 12 01 04 53 16.73
  56.190  27.579     9.8     2.7      99      99    99.0     360   0.296     2.8     2.1  2021 12 01 06 31 43.47
  56.186  27.652     4.0     3.2      99      99    99.0     360   0.352     8.2     8.4  2021 12 03 06 20 14.99
  56.241  27.583    17.3     3.4      99      99    99.0     360   0.338     3.0     2.2  2021 12 03 20 06 13.56
  56.231  27.578    17.3     2.7      99      99    99.0     360   0.282     2.7     2.2  2021 12 05 19 52 57.60
  56.171  27.551    12.9     3.1      99      99    99.0     360   0.378     2.7     1.7  2021 12 05 20 27 23.32
  56.229  27.603    16.9     3.6      99      99    99.0     360   0.297     2.7     2.3  2021 12 06 08 04 20.66
  56.233  27.568    17.5     2.9      99      99    99.0     360   0.262     2.8     2.0  2021 12 06 17 10 05.12
  56.106  27.586    16.1     3.3      99      99    99.0     360   0.430     2.9     2.3  2021 12 07 19 40 14.77
  56.172  27.601    23.3     3.6      99      99    99.0     360   0.284     3.8     3.1  2021 12 07 23 07 20.21
  56.047  27.534    15.9     3.6      99      99    99.0     360   0.498     4.5     3.1  2021 12 10 11 59 49.36
  56.232  27.525    16.7     4.3      99      99    99.0     360   0.360     2.8     2.5  2021 12 10 17 33 31.57
  56.117  27.588     4.9     2.8      99      99    99.0     360   0.367     6.2     5.2  2021 12 11 08 28 09.71
  56.220  27.574     7.5     2.8      99      99    99.0     360   0.207     5.6     4.3  2021 12 11 16 07 23.14
  56.307  27.478    23.1     2.9      99      99    99.0     360   0.271     7.3     4.8  2021 12 13 04 23 20.07
  56.153  27.548    14.3     3.4      99      99    99.0     360   0.395     3.6     2.4  2021 12 13 05 12 42.60
  56.190  27.525    19.3     3.6      99      99    99.0     360   0.482     3.8     3.2  2021 12 13 06 15 28.32
