   LON    LAT DEPTH MAG NSTUSED NPHASEP NPHASES MIND GAP  RMS SEH  SEZ YYYY MM DD HH MN   SEC
56.173 27.600   8.5 2.6     NaN     451      18  NaN NaN 0.45 1.3  2.4 2021 11 22  1 41 30.66
56.185 27.553  13.6 2.9     NaN     619      44  NaN NaN 0.50 1.2  2.1 2021 11 22  2 18  7.01
56.147 27.589  16.2 3.7     NaN     427      36  NaN NaN 0.41 1.3  2.1 2021 11 22  3 29 36.09
56.298 27.660   6.1 2.8     NaN      33       0  NaN NaN 0.48 4.0  5.7 2021 11 22 20 16  0.44
56.193 27.642   0.4 3.2     NaN     111       0  NaN NaN 0.40 2.2  2.8 2021 11 23  2 29  7.48
56.261 27.511  15.6 3.4     NaN     250      14  NaN NaN 0.41 1.3  1.9 2021 11 23  8 15 24.84
56.224 27.530  17.9 2.8     NaN     381      53  NaN NaN 0.45 1.6  2.6 2021 11 23 16 49 16.98
56.157 27.591   9.2 2.9     NaN     298       0  NaN NaN 0.54 1.9  3.4 2021 11 24  0 14 42.56
56.095 27.546  13.2 3.4     NaN     364      37  NaN NaN 0.41 1.9  3.5 2021 11 24  2 34 26.01
56.188 27.581  27.5 2.7     NaN      53       0  NaN NaN 0.34 2.5  3.3 2021 11 24 16 25 54.52
56.146 27.385  28.4 2.8     NaN       5       0  NaN NaN 0.21 5.8  5.1 2021 11 25  3  2 42.21
56.162 27.637   4.2 2.8     NaN     115       0  NaN NaN 0.43 1.8  2.6 2021 11 25  6 34 21.35
56.162 27.511  15.5 2.8     NaN     341       0  NaN NaN 0.23 1.9  2.7 2021 11 25 10 53 53.11
56.250 27.560  16.4 3.8     NaN     428      22  NaN NaN 0.38 1.4  2.5 2021 11 25 11  2 56.76
56.273 27.545   8.9 3.1     NaN     129       0  NaN NaN 0.42 2.6  4.2 2021 11 25 21 49 31.04
56.205 27.607  16.6 3.8     NaN     372      25  NaN NaN 0.44 1.5  2.7 2021 11 26  5 57 39.40
56.198 27.549  13.7 3.4     NaN     473      51  NaN NaN 0.45 1.1  1.9 2021 11 26 21 29 40.12
56.129 27.565  14.8 3.1     NaN     455       0  NaN NaN 0.33 1.3  2.4 2021 11 26 23  1  3.18
56.120 27.523  12.8 2.8     NaN     125       0  NaN NaN 0.21 2.1  3.6 2021 11 27  0 31 29.60
56.207 27.553   7.6 3.4     NaN     241      10  NaN NaN 0.47 1.6  3.0 2021 11 27 23 42 17.50
56.124 27.711   7.5 2.9     NaN      24       0  NaN NaN 0.33 3.9  7.1 2021 11 28  9 18 14.83
56.152 27.599  17.1 4.0     NaN     285       9  NaN NaN 0.35 1.3  2.4 2021 11 28 17 14 43.56
56.227 27.553   5.8 2.8     NaN     234       0  NaN NaN 0.27 3.5  7.7 2021 11 28 20 54 31.36
56.193 27.540  15.3 2.8     NaN     364       0  NaN NaN 0.28 1.9  3.4 2021 11 29  0  2  3.02
56.165 27.436  19.0 2.8     NaN      57       4  NaN NaN 0.26 2.2  2.9 2021 11 29 20 31 56.32
56.239 27.529  17.9 3.4     NaN     373      40  NaN NaN 0.40 1.3  2.0 2021 11 29 21  2 42.24
56.283 27.545  18.2 3.8     NaN     294      14  NaN NaN 0.39 1.3  2.0 2021 11 30  3 47 46.27
56.158 27.563  12.6 2.9     NaN     653      44  NaN NaN 0.37 1.2  2.1 2021 11 30  5  4 56.50
56.078 27.507  19.3 2.9     NaN     124       6  NaN NaN 0.45 2.8  4.5 2021 11 30 14 56 20.17
56.300 27.597  10.9 2.6     NaN     118       2  NaN NaN 0.34 2.8  4.4 2021 11 30 19  5 21.84
56.136 27.545  10.9 2.9     NaN     306      29  NaN NaN 0.41 1.5  2.6 2021 11 30 19 36 23.12
56.117 27.481  18.2 2.8     NaN     145      16  NaN NaN 0.42 2.3  3.8 2021 11 30 19 44 34.66
56.200 27.561  12.1 3.2     NaN     507      46  NaN NaN 0.39 1.1  2.1 2021 11 30 22 44 37.40
56.098 27.584  15.7 2.7     NaN     433       0  NaN NaN 0.31 1.6  2.9 2021 11 30 23 54 27.86
56.142 27.564  17.6 3.4     NaN     240      19  NaN NaN 0.43 1.6  2.4 2021 12  1  1 42 32.86
56.146 27.606   7.4 2.5     NaN     239      17  NaN NaN 0.42 1.5  3.5 2021 12  1  2 12 44.85
56.183 27.572  13.0 3.2     NaN     570      51  NaN NaN 0.46 1.1  1.9 2021 12  1  4 53 16.77
56.185 27.583   9.4 2.7     NaN     489      29  NaN NaN 0.33 1.1  2.1 2021 12  1  6 31 43.49
56.238 27.585  17.7 3.4     NaN     363      18  NaN NaN 0.33 1.4  2.6 2021 12  3 20  6 13.56
56.227 27.579  17.7 2.7     NaN     411      32  NaN NaN 0.33 1.3  2.5 2021 12  5 19 52 57.64
56.163 27.559  12.4 3.1     NaN     566      29  NaN NaN 0.38 1.3  2.1 2021 12  5 20 27 23.28
56.219 27.606  17.3 3.6     NaN     237       0  NaN NaN 0.45 1.6  2.7 2021 12  6  8  4 20.65
56.229 27.563  18.4 2.9     NaN     489      38  NaN NaN 0.33 1.5  2.6 2021 12  6 17 10  5.16
56.105 27.582  16.3 3.3     NaN     227       0  NaN NaN 0.42 1.9  2.9 2021 12  7 19 40 14.84
56.168 27.600  24.3 3.6     NaN     111       7  NaN NaN 0.38 1.9  3.0 2021 12  7 23  7 20.24
56.067 27.543  14.5 3.6     NaN     166       0  NaN NaN 0.53 1.9  3.0 2021 12 10 11 59 49.41
56.227 27.529  17.2 4.3     NaN     268      15  NaN NaN 0.40 1.5  2.5 2021 12 10 17 33 31.56
56.116 27.588   4.9 2.8     NaN     204       9  NaN NaN 0.44 2.0  4.2 2021 12 11  8 28  9.69
56.216 27.599   2.6 2.8     NaN      65       0  NaN NaN 0.24 2.1  5.5 2021 12 11 16  7 22.86
56.150 27.554  13.9 3.4     NaN     426      26  NaN NaN 0.46 2.6  3.7 2021 12 13  5 12 42.62
56.182 27.532  19.4 3.6     NaN     315       0  NaN NaN 0.47 2.5  3.9 2021 12 13  6 15 28.34
56.234 27.600  16.3 3.4     NaN     368       0  NaN NaN 0.47 1.6  2.6 2021 12 13 16 35 53.50
56.155 27.548  15.9 2.7     NaN     610      44  NaN NaN 0.34 1.5  2.4 2021 12 13 22 39 27.08
56.123 27.599  15.8 4.0     NaN     470       0  NaN NaN 0.34 1.5  2.6 2021 12 14 15 34 53.84
56.209 27.595  14.1 2.9     NaN     494      31  NaN NaN 0.40 1.3  2.7 2021 12 14 20 38 38.24
56.226 27.587  12.3 3.6     NaN     512      54  NaN NaN 0.43 1.2  2.5 2021 12 15  0 55 12.73
56.219 27.614   7.6 2.8     NaN     155      18  NaN NaN 0.49 1.5  3.0 2021 12 16 21 24 41.36
56.181 27.585  11.9 2.9     NaN     105       0  NaN NaN 0.25 1.7  2.9 2021 12 17  3 13 37.88
56.267 27.531  25.4 3.4     NaN      69       7  NaN NaN 0.56 2.8  3.3 2021 12 19 14 32  2.35
56.234 27.572  19.7 4.6     NaN     252      34  NaN NaN 0.48 1.3  2.5 2021 12 21 16 36 12.20
56.244 27.578  17.0 3.2     NaN     343      42  NaN NaN 0.41 1.3  2.4 2021 12 21 18 55  8.68
56.215 27.572  12.4 2.9     NaN     359      24  NaN NaN 0.51 1.2  2.0 2021 12 23 15 47 23.37
56.224 27.512  11.6 2.9     NaN     224       0  NaN NaN 0.25 1.5  2.1 2021 12 26  9 35 30.92
56.180 27.609   6.8 2.7     NaN     443       0  NaN NaN 0.36 1.3  2.7 2021 12 27  5 39 34.06
56.257 27.638  12.5 3.2     NaN     206      21  NaN NaN 0.46 1.8  3.7 2021 12 27  7  3 40.15
56.257 27.593  17.8 5.0     NaN     272      13  NaN NaN 0.39 1.5  2.6 2021 12 27  7 31 56.15
56.164 27.630  11.4 3.3     NaN     385      22  NaN NaN 0.36 1.6  3.1 2021 12 28  4 39  8.37
55.985 27.510   7.4 3.4     NaN      50       7  NaN NaN 0.40 3.0  5.5 2022  1  3 21  3 19.54
56.190 27.566  13.1 2.9     NaN     381       0  NaN NaN 0.32 1.3  2.1 2022  1  6 15  3 52.20
56.231 27.462   9.9 2.9     NaN     107       0  NaN NaN 0.46 2.6  2.6 2022  1  8  1 14  1.58
56.316 27.527  27.0 3.3     NaN      19       0  NaN NaN 0.36 4.2  5.9 2022  1  8  4 45 39.49
